company,csv_pricelist,rows
El Jumillano S.A.,ALMACEN DE PIZZA - GASTRO,11
El Jumillano S.A.,ANDREANI,7
El Jumillano S.A.,BENEFICIO ANDREANI,4
El Jumillano S.A.,BIBLIOTECA CONGRESO,2
El Jumillano S.A.,CARGILL S.A.,3
El Jumillano S.A.,COLEGIO MUNICIPALIDAD 3 DE FEB,40
El Jumillano S.A.,CONVENIO QUILMES - GASTRO,11
El Jumillano S.A.,DON BLANCO,4
El Jumillano S.A.,FCA ASOCIADOS - P. NETOS,16
El Jumillano S.A.,FCA JAUREGUY - P.NETOS,1
El Jumillano S.A.,FCA PEHUAJO - P.NETOS,2
El Jumillano S.A.,FIRENZE,23
El Jumillano S.A.,FRANQUICIAS CL SRL,32
El Jumillano S.A.,FRIO CALOR ALTA,5
El Jumillano S.A.,FRIO CALOR BAJA,1
El Jumillano S.A.,FRIO CALOR MEDIA,49
El Jumillano S.A.,GASTRONOMÍA,1474
El Jumillano S.A.,JUMI ALTA,35799
El Jumillano S.A.,JUMI BAJA,36370
El Jumillano S.A.,JUMI MEDIA,56873
El Jumillano S.A.,JUMILLANO,1220
El Jumillano S.A.,LA GUITARRITA,10
El Jumillano S.A.,LAVAZZA,61
El Jumillano S.A.,LE-BLE GASTRO,19
El Jumillano S.A.,LISTA NAFA CABA,379
El Jumillano S.A.,LISTA NAFA GRAL,2
El Jumillano S.A.,LISTA NAFA SUR,2
El Jumillano S.A.,LISTA PROMO BERISSO,10
El Jumillano S.A.,LO DE CARLITOS - GASTRO,12
El Jumillano S.A.,MERCI,1
El Jumillano S.A.,MILANO,82
El Jumillano S.A.,MUNICIPALIDAD 3 DE FEBRERO,131
El Jumillano S.A.,NAPOLI,102
El Jumillano S.A.,PERON PERON,2
El Jumillano S.A.,PERSONAL,28
El Jumillano S.A.,PRECIOS CABA,2
El Jumillano S.A.,PRECIOS GBA,1232
El Jumillano S.A.,PROMO 100,3
El Jumillano S.A.,PROMO 200,14
El Jumillano S.A.,PROMO 25%,246
El Jumillano S.A.,PROMO 400,6
El Jumillano S.A.,PROMO 50%,184
El Jumillano S.A.,PROMO GASTRO 2X1,24
El Jumillano S.A.,PROMO GASTRO 3X2,5
El Jumillano S.A.,SIFFREDI ALTA,106
El Jumillano S.A.,SIFFREDI ALTA II,52
El Jumillano S.A.,SIFFREDI MEDIA,290
El Jumillano S.A.,SIFFREDI MEDIA II,123
El Jumillano S.A.,TEMPLE GASTRO,8
El Jumillano S.A.,TORINO,26
El Jumillano S.A.,VENECIA,71
Lufran S.A.,ALMACEN DE PIZZA - GASTRO,2
Lufran S.A.,ANDREANI,65
Lufran S.A.,BENEFICIO ANDREANI,3
Lufran S.A.,BIBLIOTECA CONGRESO,1
Lufran S.A.,FRIO CALOR MEDIA,1
Lufran S.A.,INGENIERIA,3
Lufran S.A.,JUMI ALTA,80
Lufran S.A.,JUMI MEDIA,383
Lufran S.A.,LISTA NAFA 419,87
Lufran S.A.,LISTA NAFA CABA,147
Lufran S.A.,LISTA NAFA GRAL,17806
Lufran S.A.,LISTA NAFA SUR,2271
Lufran S.A.,PRECIOS GBA,63
Lufran S.A.,PROMO 25%,61
Lufran S.A.,PROMO 50%,114
Lufran S.A.,RADIO VICTORIA,1
